,CIDADE,VALOR,BENEFICIARIOS
145,PAJEU DO PIAUI,114673.0,616
146,PALMEIRA DO PIAUI,165449.0,853
147,PALMEIRAIS,541361.0,2885
148,PAQUETA,172121.0,820
149,PARNAGUA,539391.0,2109
150,PARNAIBA,1517255.0,10935
151,PASSAGEM FRANCA DO PIAUI,205135.0,887
152,PATOS DO PIAUI,132233.0,904
153,PAU D'ARCO DO PIAUI,208942.0,914
154,PAULISTANA,606776.0,3738
155,PAVUSSU,229926.0,1116
156,PEDRO II,1831125.0,7021
157,PEDRO LAURENTINO,143193.0,565
158,NOVA SANTA RITA,210864.0,967
159,PICOS,1305980.0,9495
160,PIMENTEIRAS,472916.0,1975
161,PIO IX,519744.0,3250
162,PIRACURUCA,1112676.0,4953
163,PIRIPIRI,1020125.0,6278
164,PORTO,657567.0,2327
165,PORTO ALEGRE DO PIAUI,105505.0,475
166,PRATA DO PIAUI,172167.0,728
167,QUEIMADA NOVA,305283.0,1361
168,REDENCAO DO GURGUEIA,578452.0,1984
169,REGENERACAO,800196.0,3777
170,RIACHO FRIO,233596.0,936
171,RIBEIRA DO PIAUI,198786.0,1070
172,RIBEIRO GONCALVES,232867.0,971
173,RIO GRANDE DO PIAUI,271031.0,1307
174,SANTA CRUZ DO PIAUI,214233.0,1039
175,SANTA CRUZ DOS MILAGRES,125538.0,524
176,SANTA FILOMENA,242516.0,928
177,SANTA LUZ,314937.0,1169
178,SANTANA DO PIAUI,85677.0,601
179,SANTA ROSA DO PIAUI,184808.0,932
180,SANTO ANTONIO DE LISBOA,226624.0,904
181,SANTO ANTONIO DOS MILAGRES,83427.0,284
182,SANTO INACIO DO PIAUI,157229.0,717
183,SAO BRAZ DO PIAUI,223356.0,1012
184,SAO FELIX DO PIAUI,93544.0,429
185,SAO FRANCISCO DE ASSIS DO PIAUI,326049.0,1253
186,SAO FRANCISCO DO PIAUI,269655.0,1136
187,SAO GONCALO DO GURGUEIA,119411.0,462
188,SAO GONCALO DO PIAUI,166512.0,852
189,SAO JOAO DA CANABRAVA,174547.0,820
190,SAO JOAO DA FRONTEIRA,243036.0,1005
191,SAO JOAO DA SERRA,307638.0,1219
192,SAO JOAO DA VARJOTA,130421.0,606
