VALOR_BF,QTD_BF,VALOR_AE,QTD_AE,VALOR_BPC,QTD_BPC,CONF,OBT,INC,Selected,MUNICIPIO
0.4667177749876889,0.523086061116476,0.42613302063908515,0.5507888121075541,0.0373472101900482,0.03980294633770291,0.05428832527515501,0.0,0.054285049398125625,No,ACAUA
0.5539219239412362,0.4703053777053986,0.6063200856397628,0.6627880586034621,0.2951652952042799,0.29834201998804494,0.11281380524248057,0.0,0.11281177939029809,No,AGRICOLANDIA
0.3156638954372932,0.3024914057406232,0.3894593739306619,0.3883553625487983,0.7000028225739829,0.7004161798738976,0.553441715112786,1.0,0.5534388288307347,No,AGUA BRANCA
0.45026180838935487,0.5634476534324684,0.5005410813865828,0.5469979360311303,0.25358288736542633,0.25566929140020833,0.1275054563794195,0.06321250671662383,0.12750428399162242,No,ALAGOINHA DO PIAUI
0.47474089924888563,0.4566726380686468,0.6410500194874703,0.5375345964977162,0.15072011873075156,0.154176692393443,0.2622608496944677,0.0,0.26225433159152933,No,ALEGRETE DO PIAUI
0.37389215114826374,0.47210843436029704,0.4035502525966901,0.4403549702311391,0.1344046999977016,0.13552174175139653,0.10551378619200547,0.16905721787223466,0.10551312699655166,No,ALTO LONGA
0.10770304504077483,0.143249654578873,0.3781890638911452,0.3720083571486661,0.5309981198356327,0.5305438870556193,0.3439277372689014,0.22675794316673795,0.34392519410184264,No,ALTOS
0.7107012521263727,0.45554534003613967,0.48858990423343446,0.5530733820730205,0.10415407988634613,0.1073170138777621,0.07953019184743232,0.17849746775747882,0.07953415557765132,No,ALVORADA DO GURGUEIA
0.6416770686780868,0.4816067553178494,0.4742880890642845,0.47354247832544794,0.6735220157268084,0.6709424655632479,0.18869018296785933,0.16489563207940294,0.1886860310139838,No,AMARANTE
0.6083873035957164,0.749121119853912,0.7311203509055683,0.6481016906461723,0.43652880587014964,0.43875154817060047,0.14402788422672574,0.21374729915537222,0.14402674056992956,No,ANGICAL DO PIAUI
0.28167740601978136,0.4261998582132057,0.364911814937112,0.4177590002531544,0.19815794673063059,0.19977211568765305,0.10032711196905021,0.0,0.10033002602128246,No,ANISIO DE ABREU
0.5494685108323807,0.38130048414397755,0.3162034163715604,0.39455860635334516,0.08361809007152382,0.08911633118087467,0.6962699289019084,0.1528567916842253,0.6962702828492245,No,ANTONIO ALMEIDA
0.621586010373703,0.4919546407519842,0.6161441893298457,0.5779940984417816,0.0967285276613727,0.09966596370241522,0.09181346914943662,0.24865752642102254,0.09181493156191163,No,AROAZES
0.3492069230806307,0.5350678133622208,0.6253697161208879,0.6168011981063457,0.013828179118583635,0.020724525077637748,0.27121786026774036,0.18958796114813362,0.2712136918487804,No,AROEIRAS DO ITAIM
0.4985461901489894,0.47066901039756004,0.46079303510802155,0.5228110577031085,0.07089464921711765,0.07456210912214074,0.028875254620388206,0.0,0.028877276862214137,No,ARRAIAL
0.4214700388909023,0.40394653647365364,0.4458357843693204,0.5467925167880626,0.05170517663413246,0.053905953069644554,0.16876538486908607,0.06164145920072507,0.16876811440902073,No,ASSUNCAO DO PIAUI
0.8206126813223796,0.6567386684491081,0.6679931400136356,0.719917885436785,0.3437262239760611,0.34499324497430867,0.024719904624797968,0.1285248176691174,0.02472021832490639,No,AVELINO LOPES
0.5056235753590136,0.4099818762669761,0.5653991847937804,0.3934010108231851,0.05328193391173571,0.05475739355054779,1.0,0.3756904885206283,1.0,No,BAIXA GRANDE DO RIBEIRO
0.6760746799155055,0.5995732177877614,0.5657633624844322,0.597912709118353,0.08928292819920743,0.09366688036228227,0.024319349403552345,0.12240923535532496,0.024318263555395715,No,BARRA D'ALCANTARA
0.7159457424290031,0.5442632772454163,0.6821399843674181,0.5984934635878116,0.5490043600970715,0.5489091506359651,0.5625531185562759,0.5446152447862812,0.5625462776872792,No,BARRAS
0.8536371721145126,0.6806295655566336,0.7463686544594053,0.7103764078413505,0.16858152894387982,0.17370098512652116,0.0796922740933332,0.0,0.07969282193403711,No,BARREIRAS DO PIAUI
0.338439808590873,0.5519026550692634,0.5784920715153666,0.44935324293432855,0.26587191430174395,0.2656444789601684,0.5977376236478646,0.4126611679939325,0.5977384755336478,No,BARRO DURO
0.5802013093690311,0.46295174669560785,0.48375420927182505,0.5131695856394669,0.3217985183832587,0.3215232416352833,0.15508939643453018,0.14406341404889267,0.15509107448856546,No,BATALHA
0.4266965511375703,0.41876065801806267,0.4616092179773634,0.6422282725153725,0.02635792149303127,0.030724603097665195,0.08185312490836502,0.0,0.08185068438088389,No,BELA VISTA DO PIAUI
0.5329459332105947,0.5247440425151186,0.507973654399138,0.5461850988659758,0.0939761656896565,0.0988376583904541,0.2674794717844149,0.27125007789617994,0.2674797435951681,No,BELEM DO PIAUI
0.6430119634907481,0.4826021784296004,0.500675635815816,0.5881197966196989,0.1449177846617746,0.14479381735239755,0.24412973423484655,0.36964852499389617,0.24412405593517955,No,BENEDITINOS
0.6277431705055835,0.4927315034293391,0.5646717691295087,0.5145052889348599,0.09618892455419066,0.099310196186431,0.5974874187324787,0.3516734331131713,0.5974846093634305,No,BERTOLINIA
0.6405644577917053,0.6234295411849378,0.6980035808025563,0.8113334144208343,0.019897646617288316,0.01988062553378336,0.045279097814849845,0.07794341480884591,0.04527280035541264,No,BETANIA DO PIAUI
0.9796661832424203,0.775630075064964,0.7194669093864782,0.7130711642640396,0.015606408316549265,0.018191901111506526,0.14261917893245774,0.0,0.14261989887664223,No,BOA HORA
