,CIDADE,VALOR,BENEFICIARIOS
138,NOSSA SENHORA DOS REMEDIOS,2742000.0,3990
139,NOVO ORIENTE DO PIAUI,1580400.0,2342
140,NOVO SANTO ANTONIO,978600.0,1480
141,OEIRAS,9535200.0,13628
142,OLHO D'AGUA DO PIAUI,823800.0,1158
143,PADRE MARCOS,2088600.0,2906
144,PAES LANDIM,1285200.0,1914
145,PAJEU DO PIAUI,765000.0,1150
146,PALMEIRA DO PIAUI,1365600.0,1893
147,PALMEIRAIS,3799200.0,5165
148,PAQUETA,1075200.0,1601
149,PARNAGUA,2851200.0,4071
150,PARNAIBA,31185000.0,44008
151,PASSAGEM FRANCA DO PIAUI,1403400.0,1745
152,PATOS DO PIAUI,1493400.0,2257
153,PAU D'ARCO DO PIAUI,1189800.0,1720
154,PAULISTANA,5668200.0,8155
155,PAVUSSU,1228800.0,1812
156,PEDRO II,10874400.0,15258
157,PEDRO LAURENTINO,733800.0,1092
158,NOVA SANTA RITA,1268400.0,1882
159,PICOS,18524400.0,25695
160,PIMENTEIRAS,2880600.0,4346
161,PIO IX,4975800.0,7397
162,PIRACURUCA,8166000.0,11575
163,PIRIPIRI,14611200.0,20989
164,PORTO,3337800.0,4644
165,PORTO ALEGRE DO PIAUI,715200.0,947
166,PRATA DO PIAUI,967200.0,1396
167,QUEIMADA NOVA,1942200.0,3020
168,REDENCAO DO GURGUEIA,2616000.0,3678
169,REGENERACAO,5104200.0,6814
170,RIACHO FRIO,1254600.0,1869
171,RIBEIRA DO PIAUI,1238400.0,1757
172,RIBEIRO GONCALVES,1593600.0,2200
173,RIO GRANDE DO PIAUI,1831200.0,2655
174,SANTA CRUZ DO PIAUI,1590000.0,2319
175,SANTA CRUZ DOS MILAGRES,876600.0,1313
176,SANTA FILOMENA,1472400.0,2118
177,SANTA LUZ,1572000.0,2237
178,SANTANA DO PIAUI,1017000.0,1555
179,SANTA ROSA DO PIAUI,1365000.0,1986
180,SANTO ANTONIO DE LISBOA,1455000.0,2148
181,SANTO ANTONIO DOS MILAGRES,454200.0,704
182,SANTO INACIO DO PIAUI,1050000.0,1588
183,SAO BRAZ DO PIAUI,1348200.0,2003
184,SAO FELIX DO PIAUI,666600.0,980
185,SAO FRANCISCO DE ASSIS DO PIAUI,1627800.0,2496
186,SAO FRANCISCO DO PIAUI,1563000.0,2283
187,SAO GONCALO DO GURGUEIA,628800.0,882
188,SAO GONCALO DO PIAUI,1250400.0,1776
189,SAO JOAO DA CANABRAVA,1130400.0,1668
190,SAO JOAO DA FRONTEIRA,1462800.0,2180
191,SAO JOAO DA SERRA,1734600.0,2603
192,SAO JOAO DA VARJOTA,1111800.0,1642
193,SAO JOAO DO ARRAIAL,2464800.0,3627
194,SAO JOAO DO PIAUI,5007000.0,6946
195,SAO JOSE DO DIVINO,1638000.0,2420
196,SAO JOSE DO PEIXE,994800.0,1402
197,SAO JOSE DO PIAUI,1645800.0,2537
198,SAO JULIAO,1668000.0,2440
199,SAO LOURENCO DO PIAUI,1459200.0,2051
200,SAO LUIS DO PIAUI,587400.0,907
201,SAO MIGUEL DA BAIXA GRANDE,493800.0,768
202,SAO MIGUEL DO FIDALGO,770400.0,1158
203,SAO MIGUEL DO TAPUIO,4404600.0,6642
204,SAO PEDRO DO PIAUI,3756000.0,5345
205,SAO RAIMUNDO NONATO,9197400.0,13222
206,SEBASTIAO BARROS,1221600.0,1784
207,SEBASTIAO LEAL,1031400.0,1502
208,SIGEFREDO PACHECO,2634600.0,3859
209,SIMOES,3371400.0,5127
210,SIMPLICIO MENDES,3109800.0,4652
211,SOCORRO DO PIAUI,1309800.0,1910
